brand,processor_brand,processor_name,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,touchscreen,price
asus,intel,core i3,4,ddr4,0,1024,windows,64-bit,4,casual,0,0,34649
lenovo,intel,core i3,4,ddr4,0,1024,windows,64-bit,4,casual,0,0,38999
lenovo,intel,core i3,4,ddr4,0,1024,windows,64-bit,4,casual,0,0,39999
asus,intel,core i5,8,ddr4,512,0,windows,32-bit,8,casual,0,0,69990
asus,intel,other,4,ddr4,0,512,windows,64-bit,4,casual,0,0,26990
asus,intel,other,4,ddr4,0,512,windows,64-bit,4,casual,0,0,22990
asus,intel,other,4,ddr4,0,512,windows,32-bit,4,casual,0,0,21990
asus,intel,core i5,8,ddr4,0,1024,windows,32-bit,8,casual,0,0,58799
lenovo,intel,core i5,4,ddr4,0,1024,windows,32-bit,4,casual,0,0,49999
other,amd,ryzen 5,4,ddr4,0,512,windows,32-bit,4,casual,0,0,59990
other,amd,ryzen 5,4,ddr4,0,512,windows,32-bit,4,casual,0,0,93700
other,amd,ryzen 5,4,ddr4,0,512,windows,32-bit,4,casual,0,0,72990
other,intel,other,4,ddr4,0,512,windows,64-bit,4,casual,0,0,17490
asus,intel,core i3,4,ddr4,256,0,windows,64-bit,4,casual,0,0,35990
hp,intel,core i3,8,ddr4,256,0,windows,64-bit,8,casual,1,1,56490
hp,intel,core i5,8,ddr4,256,0,windows,64-bit,8,casual,1,0,65390
lenovo,intel,other,4,ddr4,256,0,windows,64-bit,4,thinnlight,0,0,31999
hp,intel,other,8,ddr4,256,0,windows,64-bit,8,thinnlight,0,0,32490
lenovo,intel,other,4,ddr4,256,0,windows,64-bit,4,thinnlight,0,0,31799
asus,intel,other,4,ddr4,256,0,windows,64-bit,4,casual,0,0,29890
asus,intel,other,4,ddr4,0,1024,windows,64-bit,4,casual,1,0,23990
hp,intel,core i3,4,ddr4,0,1024,windows,64-bit,4,casual,0,0,32955
hp,intel,core i5,4,ddr4,0,1024,windows,32-bit,4,casual,0,0,46200
asus,intel,core i3,4,ddr4,256,0,windows,64-bit,4,thinnlight,0,0,34429
lenovo,intel,core i3,8,ddr4,256,0,windows,32-bit,8,thinnlight,2,0,37990
asus,intel,core i3,4,ddr4,256,0,windows,32-bit,4,casual,1,0,35990
asus,intel,core i3,8,ddr4,256,0,windows,64-bit,8,thinnlight,0,0,33980
hp,intel,core i3,8,ddr4,256,0,windows,64-bit,8,thinnlight,1,0,39990
dell,intel,core i3,8,ddr4,256,0,windows,64-bit,8,thinnlight,1,0,39490
hp,intel,core i3,8,ddr4,256,0,windows,64-bit,8,casual,1,1,53990
other,intel,core i3,8,ddr4,256,0,windows,64-bit,8,thinnlight,1,0,38990
asus,intel,core i3,8,ddr4,256,0,windows,64-bit,8,thinnlight,1,0,37990
asus,intel,core i3,8,ddr4,256,0,windows,64-bit,8,casual,1,0,37890
lenovo,intel,core i3,8,ddr4,256,0,windows,64-bit,8,thinnlight,1,0,38990
lenovo,intel,core i3,8,ddr4,256,0,windows,64-bit,8,thinnlight,0,0,37990
dell,intel,core i3,8,ddr4,256,0,windows,64-bit,8,thinnlight,1,0,41990
asus,intel,core i3,8,ddr4,256,0,windows,64-bit,8,casual,1,0,45990
lenovo,intel,core i3,8,ddr4,256,0,windows,64-bit,8,thinnlight,1,0,39990
dell,intel,core i3,8,ddr4,256,0,windows,64-bit,8,thinnlight,0,0,42490
dell,intel,core i3,4,ddr4,256,0,windows,64-bit,4,thinnlight,1,0,36990
lenovo,intel,core i3,8,ddr4,256,0,windows,64-bit,8,casual,1,1,53990
asus,intel,core i3,8,ddr4,256,0,windows,64-bit,8,thinnlight,0,0,36990
lenovo,intel,core i3,4,ddr4,256,0,windows,64-bit,4,casual,2,0,38940
dell,intel,core i3,4,ddr4,256,0,windows,64-bit,4,casual,1,0,39490
lenovo,intel,core i3,8,ddr4,256,0,windows,64-bit,8,casual,2,0,39999
